algorithm,n,run,time_ms,nodes_explored,path_cost
euclidean,6,5,0.052833,94,48
euclidean,6,6,0.047667,94,48
euclidean,6,7,0.050542,94,48
euclidean,6,8,0.051833,94,48
euclidean,6,9,0.053292,94,48
euclidean,6,10,0.04775,94,48
euclidean,6,11,0.05,94,48
euclidean,6,12,0.050083,94,48
euclidean,6,13,0.05375,94,48
euclidean,6,14,0.048875,94,48
euclidean,6,15,0.051125,94,48
euclidean,6,16,0.049542,94,48
euclidean,6,17,0.056417,94,48
euclidean,6,18,0.048458,94,48
euclidean,6,19,0.053916,94,48
euclidean,6,20,0.053084,94,48
chebyshev,6,1,0.048083,94,48
chebyshev,6,2,0.060708,94,48
chebyshev,6,3,0.04725,94,48
chebyshev,6,4,0.050125,94,48
chebyshev,6,5,0.049375,94,48
chebyshev,6,6,0.048208,94,48
chebyshev,6,7,0.049,94,48
chebyshev,6,8,0.048125,94,48
chebyshev,6,9,0.050625,94,48
chebyshev,6,10,0.048709,94,48
chebyshev,6,11,0.048292,94,48
chebyshev,6,12,0.052417,94,48
chebyshev,6,13,0.049958,94,48
chebyshev,6,14,0.04925,94,48
chebyshev,6,15,0.0505,94,48
chebyshev,6,16,0.04875,94,48
chebyshev,6,17,0.047375,94,48
chebyshev,6,18,0.048208,94,48
chebyshev,6,19,0.049459,94,48
chebyshev,6,20,0.052625,94,48
manhattan,7,1,0.047583,92,48
manhattan,7,2,0.048667,92,48
manhattan,7,3,0.054208,92,48
manhattan,7,4,0.052958,92,48
manhattan,7,5,0.048542,92,48
manhattan,7,6,0.051209,92,48
manhattan,7,7,0.053166,92,48
manhattan,7,8,0.052542,92,48
manhattan,7,9,0.052,92,48
manhattan,7,10,0.052542,92,48
manhattan,7,11,0.053,92,48
manhattan,7,12,0.054875,92,48
manhattan,7,13,0.0475,92,48
manhattan,7,14,0.050166,92,48
manhattan,7,15,0.050208,92,48
manhattan,7,16,0.054541,92,48
manhattan,7,17,0.0685,92,48
manhattan,7,18,0.052417,92,48
manhattan,7,19,0.046875,92,48
manhattan,7,20,0.051458,92,48
euclidean,7,1,0.053625,92,48
euclidean,7,2,0.053042,92,48
euclidean,7,3,0.051084,92,48
euclidean,7,4,0.056209,92,48
euclidean,7,5,0.047166,92,48
euclidean,7,6,0.051625,92,48
euclidean,7,7,0.050875,92,48
euclidean,7,8,0.054583,92,48
euclidean,7,9,0.053292,92,48
euclidean,7,10,0.051417,92,48
euclidean,7,11,0.048417,92,48
euclidean,7,12,0.050708,92,48
euclidean,7,13,0.052583,92,48
euclidean,7,14,0.052375,92,48
euclidean,7,15,0.05075,92,48
euclidean,7,16,0.048459,92,48
euclidean,7,17,0.053,92,48
euclidean,7,18,0.05275,92,48
euclidean,7,19,0.051916,92,48
euclidean,7,20,0.05375,92,48
chebyshev,7,1,0.051,92,48
chebyshev,7,2,0.045583,92,48
chebyshev,7,3,0.047041,92,48
chebyshev,7,4,0.046667,92,48
chebyshev,7,5,0.048,92,48
chebyshev,7,6,0.04875,92,48
chebyshev,7,7,0.046,92,48
chebyshev,7,8,0.04775,92,48
chebyshev,7,9,0.046333,92,48
chebyshev,7,10,0.045667,92,48
chebyshev,7,11,0.051666,92,48
chebyshev,7,12,0.052458,92,48
chebyshev,7,13,0.048334,92,48
chebyshev,7,14,0.048291,92,48
chebyshev,7,15,0.045417,92,48
chebyshev,7,16,0.046167,92,48
chebyshev,7,17,0.047625,92,48
chebyshev,7,18,0.048417,92,48
chebyshev,7,19,0.048083,92,48
chebyshev,7,20,0.046167,92,48
manhattan,8,1,0.039792,60,50
manhattan,8,2,0.088333,60,50
manhattan,8,3,0.040167,60,50
manhattan,8,4,0.043291,60,50
manhattan,8,5,0.0485,60,50
manhattan,8,6,0.040042,60,50
manhattan,8,7,0.042958,60,50
manhattan,8,8,0.039083,60,50
manhattan,8,9,0.038208,60,50
manhattan,8,10,0.040042,60,50
manhattan,8,11,0.039792,60,50
manhattan,8,12,0.039458,60,50
manhattan,8,13,0.038375,60,50
manhattan,8,14,0.041875,60,50
manhattan,8,15,0.039375,60,50
manhattan,8,16,0.033625,60,50
manhattan,8,17,0.037166,60,50
manhattan,8,18,0.035125,60,50
manhattan,8,19,0.03725,60,50
manhattan,8,20,0.034,60,50
euclidean,8,1,0.047625,68,50
euclidean,8,2,0.0435,68,50
euclidean,8,3,0.043459,68,50
euclidean,8,4,0.041375,68,50
euclidean,8,5,0.040292,68,50
euclidean,8,6,0.040541,68,50
euclidean,8,7,0.046417,68,50
euclidean,8,8,0.043,68,50
euclidean,8,9,0.042958,68,50
euclidean,8,10,0.041875,68,50
euclidean,8,11,0.041833,68,50
euclidean,8,12,0.043459,68,50
euclidean,8,13,0.042666,68,50
euclidean,8,14,0.040792,68,50
euclidean,8,15,0.041916,68,50
euclidean,8,16,0.044667,68,50
euclidean,8,17,0.042958,68,50
euclidean,8,18,0.041833,68,50
euclidean,8,19,0.041708,68,50
euclidean,8,20,0.04475,68,50
chebyshev,8,1,0.039708,69,50
chebyshev,8,2,0.039625,69,50
chebyshev,8,3,0.038792,69,50
chebyshev,8,4,0.088167,69,50
chebyshev,8,5,0.039333,69,50
chebyshev,8,6,0.038625,69,50
chebyshev,8,7,0.03825,69,50
chebyshev,8,8,0.038542,69,50
chebyshev,8,9,0.040667,69,50
chebyshev,8,10,0.039416,69,50
chebyshev,8,11,0.0385,69,50
chebyshev,8,12,0.038875,69,50
chebyshev,8,13,0.037792,69,50
chebyshev,8,14,0.042375,69,50
chebyshev,8,15,0.040958,69,50
chebyshev,8,16,0.039167,69,50
chebyshev,8,17,0.039916,69,50
chebyshev,8,18,0.039292,69,50
chebyshev,8,19,0.0385,69,50
chebyshev,8,20,0.041917,69,50
manhattan,9,1,0.043125,62,38
manhattan,9,2,0.0385,62,38
manhattan,9,3,0.053333,62,38
manhattan,9,4,0.04275,62,38
manhattan,9,5,0.045333,62,38
manhattan,9,6,0.040834,62,38
manhattan,9,7,0.049375,62,38
manhattan,9,8,0.045208,62,38
manhattan,9,9,0.042583,62,38
manhattan,9,10,0.0415,62,38
manhattan,9,11,0.036333,62,38
manhattan,9,12,0.040709,62,38
manhattan,9,13,0.040125,62,38
manhattan,9,14,0.037083,62,38
manhattan,9,15,0.042166,62,38
manhattan,9,16,0.037791,62,38
manhattan,9,17,0.041209,62,38
manhattan,9,18,0.036583,62,38
manhattan,9,19,0.035792,62,38
manhattan,9,20,0.039917,62,38
euclidean,9,1,0.045375,67,38
euclidean,9,2,0.04175,67,38
euclidean,9,3,0.057416,67,38
euclidean,9,4,0.045125,67,38
euclidean,9,5,0.061291,67,38
euclidean,9,6,0.042666,67,38
euclidean,9,7,0.047875,67,38
euclidean,9,8,0.040875,67,38
euclidean,9,9,0.040416,67,38
euclidean,9,10,0.044541,67,38
euclidean,9,11,0.046708,67,38
euclidean,9,12,0.070416,67,38
euclidean,9,13,0.045667,67,38
euclidean,9,14,0.047125,67,38
euclidean,9,15,0.045958,67,38
euclidean,9,16,0.045583,67,38
euclidean,9,17,0.045792,67,38
euclidean,9,18,0.043625,67,38
euclidean,9,19,0.04325,67,38
euclidean,9,20,0.041458,67,38
chebyshev,9,1,0.04125,67,38
chebyshev,9,2,0.043541,67,38
chebyshev,9,3,0.040458,67,38
chebyshev,9,4,0.039958,67,38
chebyshev,9,5,0.040708,67,38
chebyshev,9,6,0.039583,67,38
chebyshev,9,7,0.040667,67,38
chebyshev,9,8,0.048125,67,38
chebyshev,9,9,0.040292,67,38
chebyshev,9,10,0.040458,67,38
chebyshev,9,11,0.03825,67,38
chebyshev,9,12,0.039209,67,38
chebyshev,9,13,0.038458,67,38
chebyshev,9,14,0.038375,67,38
chebyshev,9,15,0.03925,67,38
chebyshev,9,16,0.03925,67,38
chebyshev,9,17,0.052834,67,38
chebyshev,9,18,0.038041,67,38
chebyshev,9,19,0.039417,67,38
chebyshev,9,20,0.038333,67,38
manhattan,10,1,0.052667,87,53
manhattan,10,2,0.052583,87,53
manhattan,10,3,0.050959,87,53
manhattan,10,4,0.050375,87,53
manhattan,10,5,0.049292,87,53
manhattan,10,6,0.052541,87,53
manhattan,10,7,0.05025,87,53
manhattan,10,8,0.045459,87,53
manhattan,10,9,0.047625,87,53
manhattan,10,10,0.049542,87,53
manhattan,10,11,0.05175,87,53
manhattan,10,12,0.050708,87,53
manhattan,10,13,0.046084,87,53
manhattan,10,14,0.045666,87,53
manhattan,10,15,0.050042,87,53
manhattan,10,16,0.052417,87,53
manhattan,10,17,0.049375,87,53
manhattan,10,18,0.048708,87,53
manhattan,10,19,0.045209,87,53
manhattan,10,20,0.051791,87,53
euclidean,10,1,0.0525,87,53
euclidean,10,2,0.0515,87,53
euclidean,10,3,0.051417,87,53
euclidean,10,4,0.046542,87,53
euclidean,10,5,0.052042,87,53
euclidean,10,6,0.047042,87,53
euclidean,10,7,0.04975,87,53
euclidean,10,8,0.048875,87,53
euclidean,10,9,0.053042,87,53
euclidean,10,10,0.049792,87,53
euclidean,10,11,0.049833,87,53
euclidean,10,12,0.049625,87,53
euclidean,10,13,0.050708,87,53
euclidean,10,14,0.051,87,53
euclidean,10,15,0.05025,87,53
euclidean,10,16,0.051792,87,53
euclidean,10,17,0.047917,87,53
euclidean,10,18,0.050792,87,53
euclidean,10,19,0.051333,87,53
euclidean,10,20,0.052083,87,53
chebyshev,10,1,0.045917,87,53
chebyshev,10,2,0.044666,87,53
chebyshev,10,3,0.045291,87,53
chebyshev,10,4,0.044875,87,53
chebyshev,10,5,0.046833,87,53
chebyshev,10,6,0.057125,87,53
chebyshev,10,7,0.046083,87,53
chebyshev,10,8,0.046875,87,53
chebyshev,10,9,0.049042,87,53
chebyshev,10,10,0.046458,87,53
chebyshev,10,11,0.047667,87,53
chebyshev,10,12,0.045833,87,53
chebyshev,10,13,0.050416,87,53
chebyshev,10,14,0.045,87,53
chebyshev,10,15,0.045416,87,53
chebyshev,10,16,0.0505,87,53
chebyshev,10,17,0.044625,87,53
chebyshev,10,18,0.044041,87,53
chebyshev,10,19,0.046,87,53
chebyshev,10,20,0.044208,87,53
manhattan,11,1,0.054333,89,59
manhattan,11,2,0.054,89,59
manhattan,11,3,0.052459,89,59
manhattan,11,4,0.053042,89,59
manhattan,11,5,0.04775,89,59
manhattan,11,6,0.04775,89,59
manhattan,11,7,0.053042,89,59
manhattan,11,8,0.05575,89,59
manhattan,11,9,0.051458,89,59
manhattan,11,10,0.055209,89,59
manhattan,11,11,0.051208,89,59
manhattan,11,12,0.050959,89,59
manhattan,11,13,0.050958,89,59
manhattan,11,14,0.056667,89,59
manhattan,11,15,0.0545,89,59
manhattan,11,16,0.060667,89,59
manhattan,11,17,0.104084,89,59
manhattan,11,18,0.057834,89,59
manhattan,11,19,0.054375,89,59
manhattan,11,20,0.054125,89,59
euclidean,11,1,0.051875,89,59
euclidean,11,2,0.051083,89,59
euclidean,11,3,0.050667,89,59
euclidean,11,4,0.054667,89,59
euclidean,11,5,0.051375,89,59
euclidean,11,6,0.056083,89,59
euclidean,11,7,0.05025,89,59
euclidean,11,8,0.053166,89,59
euclidean,11,9,0.054542,89,59
euclidean,11,10,0.053042,89,59
euclidean,11,11,0.05275,89,59
euclidean,11,12,0.066167,89,59
euclidean,11,13,0.054375,89,59
euclidean,11,14,0.053833,89,59
euclidean,11,15,0.055042,89,59
euclidean,11,16,0.049291,89,59
euclidean,11,17,0.052,89,59
euclidean,11,18,0.054375,89,59
euclidean,11,19,0.051792,89,59
euclidean,11,20,0.050417,89,59
chebyshev,11,1,0.0485,89,59
chebyshev,11,2,0.045833,89,59
chebyshev,11,3,0.047542,89,59
chebyshev,11,4,0.045625,89,59
chebyshev,11,5,0.047625,89,59
chebyshev,11,6,0.050792,89,59
chebyshev,11,7,0.046875,89,59
chebyshev,11,8,0.044333,89,59
chebyshev,11,9,0.046792,89,59
chebyshev,11,10,0.05225,89,59
chebyshev,11,11,0.048375,89,59
chebyshev,11,12,0.0475,89,59
chebyshev,11,13,0.047542,89,59
chebyshev,11,14,0.048916,89,59
chebyshev,11,15,0.047709,89,59
chebyshev,11,16,0.04825,89,59
chebyshev,11,17,0.047,89,59
chebyshev,11,18,0.049458,89,59
chebyshev,11,19,0.051792,89,59
chebyshev,11,20,0.047,89,59
manhattan,12,1,0.035708,63,47
manhattan,12,2,0.03925,63,47
manhattan,12,3,0.040959,63,47
manhattan,12,4,0.039542,63,47
manhattan,12,5,0.043334,63,47
manhattan,12,6,0.039125,63,47
manhattan,12,7,0.03975,63,47
manhattan,12,8,0.035458,63,47
manhattan,12,9,0.03675,63,47
manhattan,12,10,0.040208,63,47
manhattan,12,11,0.039917,63,47
manhattan,12,12,0.038958,63,47
manhattan,12,13,0.039125,63,47
manhattan,12,14,0.042583,63,47
manhattan,12,15,0.039333,63,47
manhattan,12,16,0.040292,63,47
manhattan,12,17,0.035,63,47
manhattan,12,18,0.035292,63,47
manhattan,12,19,0.036458,63,47
manhattan,12,20,0.038334,63,47
euclidean,12,1,0.041125,68,47
euclidean,12,2,0.044083,68,47
euclidean,12,3,0.04175,68,47
euclidean,12,4,0.038834,68,47
euclidean,12,5,0.042875,68,47
euclidean,12,6,0.038083,68,47
euclidean,12,7,0.039375,68,47
euclidean,12,8,0.045,68,47
euclidean,12,9,0.041834,68,47
euclidean,12,10,0.040208,68,47
euclidean,12,11,0.036625,68,47
euclidean,12,12,0.043083,68,47
euclidean,12,13,0.042417,68,47
euclidean,12,14,0.04225,68,47
euclidean,12,15,0.040833,68,47
euclidean,12,16,0.039292,68,47
euclidean,12,17,0.044333,68,47
euclidean,12,18,0.040666,68,47
euclidean,12,19,0.036959,68,47
