algorithm,n,run,time_ms,nodes_explored,path_cost
euclidean,9,17,0.045084,67,38
euclidean,9,18,0.042375,67,38
euclidean,9,19,0.041167,67,38
euclidean,9,20,0.040958,67,38
chebyshev,9,1,0.040542,67,38
chebyshev,9,2,0.04025,67,38
chebyshev,9,3,0.0385,67,38
chebyshev,9,4,0.040167,67,38
chebyshev,9,5,0.040542,67,38
chebyshev,9,6,0.037375,67,38
chebyshev,9,7,0.038416,67,38
chebyshev,9,8,0.03725,67,38
chebyshev,9,9,0.037875,67,38
chebyshev,9,10,0.044042,67,38
chebyshev,9,11,0.03975,67,38
chebyshev,9,12,0.039042,67,38
chebyshev,9,13,0.040417,67,38
chebyshev,9,14,0.042083,67,38
chebyshev,9,15,0.040917,67,38
chebyshev,9,16,0.041292,67,38
chebyshev,9,17,0.042291,67,38
chebyshev,9,18,0.041334,67,38
chebyshev,9,19,0.041417,67,38
chebyshev,9,20,0.040666,67,38
manhattan,10,1,0.052,87,53
manhattan,10,2,0.051417,87,53
manhattan,10,3,0.053834,87,53
manhattan,10,4,0.051166,87,53
manhattan,10,5,0.050542,87,53
manhattan,10,6,0.050625,87,53
manhattan,10,7,0.108083,87,53
manhattan,10,8,0.055292,87,53
manhattan,10,9,0.051541,87,53
manhattan,10,10,0.049542,87,53
manhattan,10,11,0.050584,87,53
manhattan,10,12,0.049167,87,53
manhattan,10,13,0.045708,87,53
manhattan,10,14,0.053291,87,53
manhattan,10,15,0.046125,87,53
manhattan,10,16,0.04925,87,53
manhattan,10,17,0.0505,87,53
manhattan,10,18,0.050708,87,53
manhattan,10,19,0.048542,87,53
manhattan,10,20,0.050416,87,53
euclidean,10,1,0.054167,87,53
euclidean,10,2,0.053542,87,53
euclidean,10,3,0.052625,87,53
euclidean,10,4,0.052291,87,53
euclidean,10,5,0.053417,87,53
euclidean,10,6,0.05075,87,53
euclidean,10,7,0.050625,87,53
euclidean,10,8,0.052,87,53
euclidean,10,9,0.048083,87,53
euclidean,10,10,0.051,87,53
euclidean,10,11,0.051459,87,53
euclidean,10,12,0.052042,87,53
euclidean,10,13,0.055,87,53
euclidean,10,14,0.048834,87,53
euclidean,10,15,0.05075,87,53
euclidean,10,16,0.050333,87,53
euclidean,10,17,0.046417,87,53
euclidean,10,18,0.051084,87,53
euclidean,10,19,0.049041,87,53
euclidean,10,20,0.05075,87,53
chebyshev,10,1,0.048458,87,53
chebyshev,10,2,0.045834,87,53
chebyshev,10,3,0.04625,87,53
chebyshev,10,4,0.04525,87,53
